Name,School,A,B,C,D,E,F,Points,Prize
363636001,1000001,70,42,60,68.4,40.8,60,341.2,1
363636002,1000002,70,40,42,44,40.8,60,296.8,1
363636003,1000003,70,57,28,70,30.4,41,296.4,1
363636004,1000004,70,57,20.4,70,10,60,287.4,1
363636005,1000005,70,70,60,24.8,20.8,41,286.6,1
363636006,1000006,70,70,0.4,70,33.6,41,285,1
363636007,1000007,70,42,26.4,70,0,60,268.4,1
363636008,1000008,70,70,9.2,0,58.8,60,268,1
363636009,1000009,70,33,7.2,66.4,30.8,60,267.4,1
363636010,1000010,70,43.5,30,70,12.4,41,266.9,1
363636011,1000011,70,50,24.4,44,31.2,43.72,263.32,1
363636012,1000012,70,57,21.6,50,30.8,31,260.4,1
363636013,1000013,70,42,42,70,0,31,255,1
363636014,1000014,70,57,25.2,70,1.2,31,254.4,1
363636015,1000015,70,57,20,32.8,31.2,41,252,1
363636016,1000016,70,57,20.4,44,30,30.07,251.47,2
363636017,1000017,70,50,21.6,57.2,10,41,249.8,2
363636018,1000018,28,42,31.2,54.4,30.4,60,246,2
363636019,1000019,70,42,6,70,30.8,24.69,243.49,2
363636020,1000020,28,41,42,70,0,56.35,237.35,2
363636021,1000021,28,42,42,70,50.4,2.38,234.78,2
363636022,1000022,70,0,42,48.4,70,3.4,233.8,2
363636023,1000023,70,50,0,70,1.2,41.68,232.88,2
363636024,1000024,70,50,6,25.6,20.8,60,232.4,2
363636025,1000025,69.5,57,0,61.2,12.4,31,231.1,2
363636026,1000026,70,65,22.8,70,0,0,227.8,2
363636027,1000027,70,50,0.8,63.2,1.2,41,226.2,2
363636028,1000028,70,64.5,0.8,0,30,60,225.3,2
363636029,1000029,70,41,28,32.8,11.6,41,224.4,2
363636030,1000030,70,10,12,70,0,60,222,2
363636031,1000031,42,42,30,32.8,30,41.34,218.14,2
363636032,1000032,51.5,33,0,70,0,60,214.5,2
363636033,1000033,70,42,0.8,56,1.2,41,211,2
363636034,1000034,70,70,0.8,27.2,1.2,41,210.2,2
363636035,1000035,70,50,20,17.2,20.4,31,208.6,2
363636036,1000036,70,26,0,32.8,18,60,206.8,2
363636037,1000037,28,50,24.4,44,0,60,206.4,2
363636038,1000038,70,42,20,3.6,9.6,60,205.2,2
363636039,1000039,70,70,0,63.2,0,0,203.2,2
363636040,1000040,70,56,20,0,15.6,41,202.6,2
363636041,1000041,70,24.5,28,14.4,4.4,60,201.3,2
363636042,1000042,70,0,60,70,0,0,200,2
363636043,1000043,28.5,42,28,50,20.4,31,199.9,2
363636044,1000044,56,41,0.4,70,0,31,198.4,2
363636045,1000045,70,16.5,0,70,0,41,197.5,2
363636046,1000046,70,37.5,0.4,25.2,1.6,54.34,189.04,2
363636047,1000047,70,0,0,8,70,41,189,2
363636048,1000048,70,33,0,44,0,41,188,2
363636049,1000049,70,57,0.8,0,0,60,187.8,2
363636050,1000050,70,42,20,14.4,0,41,187.4,2
363636051,1000051,29.5,42,25.2,61.2,0,25.68,183.58,2
363636052,1000052,25,42,26.4,70,20,0,183.4,2
363636053,1000053,70,0,20.8,31.2,0,60,182,2
363636054,1000054,28,45,28,0.4,20,60,181.4,2
363636055,1000055,70,39,25.2,22,0,25.02,181.22,2
363636056,1000056,70,42,14.8,22,0,31,179.8,2
363636057,1000057,70,29.5,20.4,3.6,24.4,31,178.9,2
363636058,1000058,70,34,0.8,22,20.4,31,178.2,2
363636059,1000059,14.5,50,28,44,0,41,177.5,2
363636060,1000060,70,57,47.2,0,0,0,174.2,2
363636061,1000061,6,26,28,32.8,20.8,60,173.6,2
363636062,1000062,70,1,32.4,70,0,0,173.4,2
363636063,1000063,70,17,21.6,44,20.4,0.34,173.34,2
363636064,1000064,70,17,0,24.8,1.2,60,173,2
363636065,1000065,28,50,0.8,32.8,1.2,60,172.8,2
363636066,1000066,70,26,0,44,0,31,171,2
363636067,1000067,28.5,12,0,70,0,60,170.5,2
363636068,1000068,70,42,0,0.4,16.4,41,169.8,2
363636069,1000069,14.5,42,20,44,30,19.02,169.52,2
363636070,1000070,32.5,30,42,22,1.2,41.34,169.04,2
363636071,1000071,26,42,20,0.4,20,60,168.4,2
363636072,1000072,19.5,57,6,32.8,12,41,168.3,2
