Name,ANDORXOR,CROSS,SLAMP,division,sort,zip,Points,Prize
363636001,5.76,6.65,7,3.36,5.25,7,35.02,1
363636002,5.76,6.83,4.34,3.24,7,7,34.17,1
363636003,2.16,7,7,3.6,7,7,33.76,1
363636004,1.2,7,7,3.6,7,7,32.8,1
363636005,5.76,6.83,0.84,5.76,5.25,7,31.44,1
363636006,1.2,4.55,7,4.2,7,7,30.95,1
363636007,2.28,6.83,1.96,5.64,7,7,30.71,1
363636008,1.2,7,4.2,3.36,7,7,29.76,1
363636009,3.36,7,2.94,2.04,7,7,29.34,1
363636010,1.2,7,3.08,3.48,7,7,28.76,1
363636011,2.16,5.95,3.08,3.12,7,7,28.31,1
363636012,2.16,7,3.08,3.48,5.25,7,27.97,1
363636013,0,7,2.38,4.08,7,7,27.46,1
363636014,1.2,6.83,1.82,3.6,7,7,27.45,1
363636015,1.2,6.83,3.22,3.84,5.25,7,27.34,1
363636016,1.2,5.43,3.08,3.48,7,7,27.19,1
363636017,1.2,6.83,3.08,3.36,5.25,7,26.72,2
363636018,1.2,7,3.36,1.08,7,7,26.64,2
363636019,5.76,6.83,1.68,0,5.25,7,26.52,2
363636020,3.48,5.78,3.08,0,7,7,26.34,2
363636021,3.72,6.13,2.38,0,7,7,26.23,2
363636022,0,6.83,3.36,3.6,5.25,7,26.04,2
363636023,2.52,7,3.36,0,7,5.95,25.83,2
363636024,0,6.83,3.08,3.6,5.25,7,25.76,2
363636025,2.16,6.3,3.08,0,7,7,25.54,2
363636026,1.2,6.83,3.36,0,7,7,25.39,2
363636027,1.2,6.83,3.36,0,7,7,25.39,2
363636028,2.16,5.25,1.68,3.96,5.25,7,25.3,2
363636029,2.16,6.83,2.24,0,7,7,25.23,2
363636030,1.2,6.83,3.08,0,7,7,25.11,2
363636031,2.16,5.95,2.94,0,7,7,25.05,2
363636032,1.2,6.83,3.08,1.68,5.25,7,25.04,2
363636033,2.28,6.83,3.08,0.6,5.25,7,25.04,2
363636034,1.2,6.83,3.08,3.6,5.25,5.04,25,2
363636035,1.2,5.95,1.4,2.4,7,7,24.95,2
363636036,0.36,5.6,3.08,3.48,5.25,7,24.77,2
363636037,1.2,6.83,3.08,3.48,3.15,7,24.74,2
363636038,1.2,6.83,2.66,0,7,7,24.69,2
363636039,3.36,5.95,3.08,0,5.25,7,24.64,2
363636040,1.2,6.3,3.08,0,7,7,24.58,2
363636041,2.16,7,3.08,0,5.25,7,24.49,2
363636042,2.16,7,3.08,0,5.25,7,24.49,2
363636043,1.2,6.83,1.4,2.76,5.25,7,24.44,2
363636044,1.8,5.43,3.08,0,7,7,24.31,2
363636045,1.2,5.78,3.08,0,7,7,24.06,2
363636046,1.44,5.43,1.4,3.48,5.25,7,24,2
363636047,1.92,6.13,3.36,3.48,2.1,7,23.99,2
363636048,1.2,5.78,2.38,0.6,7,7,23.96,2
363636049,1.2,5.95,3.08,3.36,5.25,5.04,23.88,2
363636050,1.2,7,1.68,0,7,7,23.88,2
363636051,1.2,7,1.68,0,7,7,23.88,2
363636052,1.2,6.13,2.38,1.92,5.25,7,23.88,2
363636053,1.2,6.83,3.08,3.6,4.2,4.9,23.81,2
363636054,2.16,6.3,3.08,0,5.25,7,23.79,2
363636055,2.04,6.3,1.4,0,7,7,23.74,2
363636056,1.2,6.83,1.68,0,7,7,23.71,2
363636057,0,7,2.66,0,7,7,23.66,2
363636058,3.36,6.83,1.68,2.28,2.45,7,23.6,2
363636059,1.2,7,3.08,0,5.25,7,23.53,2
363636060,1.2,7,3.08,0,5.25,7,23.53,2
363636061,1.2,6.83,3.08,0,5.43,7,23.53,2
363636062,1.2,6.48,1.82,0,7,7,23.5,2
363636063,4.8,6.83,1.68,0,3.15,7,23.46,2
363636064,1.2,6.13,3.08,0,5.95,7,23.36,2
363636065,1.2,6.83,3.08,0,5.25,7,23.36,2
363636066,1.2,5.25,1.68,1.2,7,7,23.33,2
363636067,2.16,5.78,3.08,0,5.25,7,23.27,2
363636068,1.2,6.83,2.94,0,5.25,7,23.22,2
